Time,wheel1_joint_expected,wheel1_joint_actual,wheel1_joint_error,wheel2_joint_expected,wheel2_joint_actual,wheel2_joint_error,wheel3_joint_expected,wheel3_joint_actual,wheel3_joint_error
1.02,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
1.23,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
1.43,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
1.64,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
1.84,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
2.04,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
2.25,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
2.45,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
2.65,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
2.86,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
3.06,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
3.26,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
3.46,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
3.67,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
3.87,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
4.07,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
4.27,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
4.48,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
4.68,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
4.88,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
5.09,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
5.29,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
5.5,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
5.7,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
5.9,-11.383545,-11.383546,1e-06,3.050212,3.050214,3e-06,8.333333,8.333331,2e-06
