Time,wheel1_joint_expected,wheel1_joint_actual,wheel1_joint_error,wheel2_joint_expected,wheel2_joint_actual,wheel2_joint_error,wheel3_joint_expected,wheel3_joint_actual,wheel3_joint_error
1.03,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
1.23,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
1.43,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
1.64,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
1.84,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
2.04,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
2.25,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
2.45,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
2.66,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
2.86,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
3.07,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
3.27,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
3.47,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
3.68,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
3.88,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
4.08,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
4.29,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
4.49,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
4.69,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
4.9,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
5.1,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
5.3,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
5.5,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
5.71,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
5.91,-3.050212,-3.050209,3e-06,11.383545,11.383544,1e-06,-8.333333,-8.333335,2e-06
